minute,result,X,Y,xG,player,h_a,situation,season,shotType,h_team,a_team,h_goals,a_goals,date,player_assisted,lastAction
19,BlockedShot,0.9,0.597000008,0.106105,Mohamed Salah,a,OpenPlay,2022,LeftFoot,Nottingham Forest,Liverpool,1,0,2022-10-22 11:30:00,Curtis Jones,Pass
29,SavedShot,0.854000015,0.54,0.0969612,Mohamed Salah,a,OpenPlay,2022,LeftFoot,Nottingham Forest,Liverpool,1,0,2022-10-22 11:30:00,Harvey Elliott,Pass
84,MissedShots,0.935999985,0.298999996,0.047256701,Mohamed Salah,a,OpenPlay,2022,RightFoot,Nottingham Forest,Liverpool,1,0,2022-10-22 11:30:00,,Rebound
94,SavedShot,0.931999969,0.534000015,0.057195298,Mohamed Salah,a,OpenPlay,2022,Head,Nottingham Forest,Liverpool,1,0,2022-10-22 11:30:00,Andrew Robertson,HeadPass
0,MissedShots,0.975999985,0.728000031,0.040135499,Mohamed Salah,h,OpenPlay,2022,LeftFoot,Liverpool,Leeds,1,2,2022-10-29 18:45:00,,None
13,Goal,0.950999985,0.450999985,0.446826994,Mohamed Salah,h,FromCorner,2022,LeftFoot,Liverpool,Leeds,1,2,2022-10-29 18:45:00,Andrew Robertson,Cross
38,SavedShot,0.810999985,0.534000015,0.0546018,Mohamed Salah,h,OpenPlay,2022,LeftFoot,Liverpool,Leeds,1,2,2022-10-29 18:45:00,Darwin Núñ,BallTouch
57,MissedShots,0.793000031,0.395,0.031044099,Mohamed Salah,h,OpenPlay,2022,LeftFoot,Liverpool,Leeds,1,2,2022-10-29 18:45:00,Thiago Alcántar,TakeOn
67,BlockedShot,0.829000015,0.316000004,0.0338149,Mohamed Salah,h,OpenPlay,2022,LeftFoot,Liverpool,Leeds,1,2,2022-10-29 18:45:00,Trent Alexander-Arnold,Pass
70,BlockedShot,0.888000031,0.467999992,0.126679003,Mohamed Salah,h,OpenPlay,2022,LeftFoot,Liverpool,Leeds,1,2,2022-10-29 18:45:00,Curtis Jones,Pass
85,SavedShot,0.89,0.731999969,0.0351578,Mohamed Salah,h,OpenPlay,2022,LeftFoot,Liverpool,Leeds,1,2,2022-10-29 18:45:00,Roberto Firmino,Pass
10,Goal,0.874000015,0.46,0.114802003,Mohamed Salah,a,OpenPlay,2022,LeftFoot,Tottenham,Liverpool,1,2,2022-11-06 16:30:00,Darwin Núñ,Pass
39,Goal,0.899000015,0.552999992,0.46054101,Mohamed Salah,a,OpenPlay,2022,LeftFoot,Tottenham,Liverpool,1,2,2022-11-06 16:30:00,,None
53,SavedShot,0.868000031,0.462000008,0.423927993,Mohamed Salah,a,OpenPlay,2022,LeftFoot,Tottenham,Liverpool,1,2,2022-11-06 16:30:00,Darwin Núñ,Pass
15,SavedShot,0.918000031,0.432999992,0.322966009,Mohamed Salah,h,OpenPlay,2022,RightFoot,Liverpool,Southampton,3,1,2022-11-12 15:00:00,Darwin Núñ,Cross
31,SavedShot,0.874000015,0.567000008,0.113845997,Mohamed Salah,h,OpenPlay,2022,LeftFoot,Liverpool,Southampton,3,1,2022-11-12 15:00:00,Andrew Robertson,Pass
54,MissedShots,0.920999985,0.502999992,0.403564006,Mohamed Salah,h,OpenPlay,2022,Head,Liverpool,Southampton,3,1,2022-11-12 15:00:00,Trent Alexander-Arnold,Cross
91,BlockedShot,0.805999985,0.427000008,0.069114603,Mohamed Salah,h,OpenPlay,2022,LeftFoot,Liverpool,Southampton,3,1,2022-11-12 15:00:00,Alex Oxlade-Chamberlain,Pass
4,Goal,0.93,0.524000015,0.492700994,Mohamed Salah,a,FromCorner,2022,LeftFoot,Aston Villa,Liverpool,1,3,2022-12-26 17:30:00,Andrew Robertson,Pass
30,MissedShots,0.914000015,0.329000015,0.077181898,Mohamed Salah,a,OpenPlay,2022,LeftFoot,Aston Villa,Liverpool,1,3,2022-12-26 17:30:00,Jordan Henderson,Chipped
50,SavedShot,0.930999985,0.600999985,0.535507023,Mohamed Salah,a,OpenPlay,2022,LeftFoot,Aston Villa,Liverpool,1,3,2022-12-26 17:30:00,Thiago Alcántar,BallRecovery
22,MissedShots,0.906999969,0.602999992,0.135279,Mohamed Salah,h,OpenPlay,2022,LeftFoot,Liverpool,Leicester,2,1,2022-12-30 20:00:00,Darwin Núñ,Pass
52,MissedShots,0.894000015,0.397999992,0.418633997,Mohamed Salah,h,OpenPlay,2022,RightFoot,Liverpool,Leicester,2,1,2022-12-30 20:00:00,Darwin Núñ,Pass
71,SavedShot,0.895999985,0.375,0.098198302,Mohamed Salah,h,OpenPlay,2022,RightFoot,Liverpool,Leicester,2,1,2022-12-30 20:00:00,Virgil van Dijk,HeadPass
81,SavedShot,0.856999969,0.512000008,0.094297998,Mohamed Salah,h,OpenPlay,2022,LeftFoot,Liverpool,Leicester,2,1,2022-12-30 20:00:00,,None
79,BlockedShot,0.885,0.342999992,0.057170101,Mohamed Salah,a,OpenPlay,2022,LeftFoot,Brentford,Liverpool,3,1,2023-01-02 17:30:00,Naby Keita,Pass
25,MissedShots,0.879000015,0.263999996,0.034962401,Mohamed Salah,a,OpenPlay,2022,RightFoot,Brighton,Liverpool,3,0,2023-01-14 15:00:00,Fabinho,Chipped
45,MissedShots,0.893000031,0.345999985,0.056375898,Mohamed Salah,h,OpenPlay,2022,LeftFoot,Liverpool,Chelsea,0,0,2023-01-21 12:30:00,Naby Keita,Chipped
19,MissedShots,0.865999985,0.375999985,0.0843364,Mohamed Salah,a,OpenPlay,2022,LeftFoot,Wolverhampton Wanderers,Liverpool,3,0,2023-02-04 15:00:00,Naby Keita,Pass
61,MissedShots,0.861999969,0.405999985,0.0875251,Mohamed Salah,a,OpenPlay,2022,LeftFoot,Wolverhampton Wanderers,Liverpool,3,0,2023-02-04 15:00:00,Cody Gakpo,Pass
10,BlockedShot,0.804000015,0.422000008,0.120545,Mohamed Salah,h,DirectFreekick,2022,LeftFoot,Liverpool,Everton,2,0,2023-02-13 20:00:00,,Standard
35,Goal,0.838000031,0.504000015,0.362684011,Mohamed Salah,h,OpenPlay,2022,RightFoot,Liverpool,Everton,2,0,2023-02-13 20:00:00,Darwin Núñ,Chipped
62,SavedShot,0.868000031,0.349000015,0.088155702,Mohamed Salah,h,OpenPlay,2022,LeftFoot,Liverpool,Everton,2,0,2023-02-13 20:00:00,Cody Gakpo,Pass
81,BlockedShot,0.869000015,0.372999992,0.119727001,Mohamed Salah,h,OpenPlay,2022,LeftFoot,Liverpool,Everton,2,0,2023-02-13 20:00:00,Stefan Bajcetic,Pass
87,SavedShot,0.893000031,0.349000015,0.210385993,Mohamed Salah,h,OpenPlay,2022,LeftFoot,Liverpool,Everton,2,0,2023-02-13 20:00:00,Roberto Firmino,TakeOn
88,BlockedShot,0.905999985,0.370999985,0.058346201,Mohamed Salah,h,FromCorner,2022,RightFoot,Liverpool,Everton,2,0,2023-02-13 20:00:00,Trent Alexander-Arnold,Pass
38,BlockedShot,0.803000031,0.349000015,0.087702699,Mohamed Salah,a,DirectFreekick,2022,LeftFoot,Newcastle United,Liverpool,0,2,2023-02-18 17:30:00,,Standard
80,SavedShot,0.825999985,0.509000015,0.080047302,Mohamed Salah,a,OpenPlay,2022,LeftFoot,Newcastle United,Liverpool,0,2,2023-02-18 17:30:00,Harvey Elliott,BallRecovery
9,MissedShots,0.861999969,0.301000004,0.071926802,Mohamed Salah,a,OpenPlay,2022,LeftFoot,Crystal Palace,Liverpool,0,0,2023-02-25 19:45:00,Cody Gakpo,Pass
40,SavedShot,0.865,0.355,0.148736998,Mohamed Salah,a,OpenPlay,2022,LeftFoot,Crystal Palace,Liverpool,0,0,2023-02-25 19:45:00,Naby Keita,TakeOn
48,ShotOnPost,0.875,0.332000008,0.044724502,Mohamed Salah,a,OpenPlay,2022,LeftFoot,Crystal Palace,Liverpool,0,0,2023-02-25 19:45:00,,Rebound
76,Goal,0.941999969,0.505,0.623502016,Mohamed Salah,h,OpenPlay,2022,RightFoot,Liverpool,Wolverhampton Wanderers,2,0,2023-03-01 20:00:00,Konstantinos Tsimikas,Pass
82,MissedShots,0.9,0.370999985,0.089094803,Mohamed Salah,h,OpenPlay,2022,LeftFoot,Liverpool,Wolverhampton Wanderers,2,0,2023-03-01 20:00:00,,BallRecovery
13,MissedShots,0.820999985,0.345,0.039260902,Mohamed Salah,h,OpenPlay,2022,LeftFoot,Liverpool,Manchester United,7,0,2023-03-05 16:30:00,Fabinho,Pass
65,Goal,0.869000015,0.537999992,0.134463996,Mohamed Salah,h,OpenPlay,2022,RightFoot,Liverpool,Manchester United,7,0,2023-03-05 16:30:00,,None
82,Goal,0.93,0.464000015,0.448763996,Mohamed Salah,h,OpenPlay,2022,RightFoot,Liverpool,Manchester United,7,0,2023-03-05 16:30:00,Roberto Firmino,BallTouch
4,SavedShot,0.824000015,0.454000015,0.068140499,Mohamed Salah,a,OpenPlay,2022,LeftFoot,Bournemouth,Liverpool,1,0,2023-03-11 12:30:00,Cody Gakpo,Pass
68,MissedShots,0.885,0.5,0.761169016,Mohamed Salah,a,Penalty,2022,LeftFoot,Bournemouth,Liverpool,1,0,2023-03-11 12:30:00,,Standard
14,BlockedShot,0.855,0.357999992,0.089364603,Mohamed Salah,a,OpenPlay,2022,LeftFoot,Manchester City,Liverpool,4,1,2023-04-01 11:30:00,Harvey Elliott,Pass
16,Goal,0.855999985,0.415,0.085689202,Mohamed Salah,a,OpenPlay,2022,LeftFoot,Manchester City,Liverpool,4,1,2023-04-01 11:30:00,Diogo Jota,Pass
33,MissedShots,0.923000031,0.332000008,0.285153002,Mohamed Salah,h,OpenPlay,2022,LeftFoot,Liverpool,Arsenal,2,2,2023-04-09 15:30:00,Jordan Henderson,Throughball
41,Goal,0.978000031,0.464000015,0.720856011,Mohamed Salah,h,OpenPlay,2022,RightFoot,Liverpool,Arsenal,2,2,2023-04-09 15:30:00,,Rebound
47,BlockedShot,0.830999985,0.345,0.0462749,Mohamed Salah,h,OpenPlay,2022,LeftFoot,Liverpool,Arsenal,2,2,2023-04-09 15:30:00,Cody Gakpo,Pass
48,MissedShots,0.984000015,0.334000015,0.056109101,Mohamed Salah,h,OpenPlay,2022,LeftFoot,Liverpool,Arsenal,2,2,2023-04-09 15:30:00,Cody Gakpo,Pass
49,BlockedShot,0.900999985,0.301000004,0.0419778,Mohamed Salah,h,OpenPlay,2022,LeftFoot,Liverpool,Arsenal,2,2,2023-04-09 15:30:00,Trent Alexander-Arnold,Chipped
